message_id;chat_id;direction;inserted_at
ae74af08-8325-4790-8992-03a406dfb3b5;d15d9ce7-6199-4ce5-90ad-22981edce15f;inbound;2022/08/17
42d978a5-8525-4ebe-a90f-776dfb7ae131;d15d9ce7-6199-4ce5-90ad-22981edce15f;outbound;2022/08/17
60205818-2c16-4950-ba00-603246eadfa5;d15d9ce7-6199-4ce5-90ad-22981edce15f;inbound;2022/08/17
c29d27c0-7038-4eb9-837c-4a15a277fe22;d15d9ce7-6199-4ce5-90ad-22981edce15f;inbound;2022/08/17
de9ed455-7df3-427b-b2f6-070731f6ed79;cfd1f639-6d0f-4650-b17c-a64f7f716baa;inbound;2022/08/17
c8c9d233-b89a-4299-a307-73bbe4a86750;d15d9ce7-6199-4ce5-90ad-22981edce15f;outbound;2022/08/17
0cbfd5c8-7ba3-449d-9a95-2a67cf510c44;cfd1f639-6d0f-4650-b17c-a64f7f716baa;outbound;2022/08/17
c98e884b-b1ea-48e6-8a9a-8821a06ec0dc;d15d9ce7-6199-4ce5-90ad-22981edce15f;outbound;2022/08/17
a5715932-a380-4e9d-9057-aad02e4d4246;cfd1f639-6d0f-4650-b17c-a64f7f716baa;outbound;2022/08/17
1a206d40-5977-46c8-9d14-e1ca9a14d5d4;cfd1f639-6d0f-4650-b17c-a64f7f716baa;inbound;2022/08/17
2fec192e-1280-4d7c-b3d2-382472897601;d15d9ce7-6199-4ce5-90ad-22981edce15f;outbound;2022/08/17
1e794a95-4960-4299-99dc-cc66810a0b7b;d15d9ce7-6199-4ce5-90ad-22981edce15f;outbound;2022/08/17
ef7f14b6-cb6e-4629-8ea2-6909b243c760;d15d9ce7-6199-4ce5-90ad-22981edce15f;inbound;2022/08/17
9660e728-3978-4a12-b77d-b4db699eb1c0;826113a7-77ee-4aaa-b41d-6546582d1707;inbound;2022/08/16
801d64cc-d6db-445a-9c05-7a523e7f3927;9565c857-7871-40fa-8aac-01aae894cea5;outbound;2022/08/16
13fed8a3-678e-4c76-8faa-d79aa37e137f;31f4d77e-a8af-45b9-aff3-021875510abf;outbound;2022/08/16
016d5be0-3cd0-4a60-ad72-4c007a06ac82;7cc869bd-2601-48c4-9b7d-8c1d15715048;inbound;2022/08/16
0ceff4e7-6065-4be4-893e-bac0fd8b9f59;826113a7-77ee-4aaa-b41d-6546582d1707;inbound;2022/08/16
8e21f20c-d11d-451e-a098-f4667bd18c54;826113a7-77ee-4aaa-b41d-6546582d1707;inbound;2022/08/16
d38051dd-18f6-4347-be7b-eb3aea09107c;826113a7-77ee-4aaa-b41d-6546582d1707;outbound;2022/08/16
48d5cea7-2a1b-4214-b0e2-9f1a1fd24d41;7cc869bd-2601-48c4-9b7d-8c1d15715048;outbound;2022/08/16
caf6ea03-3240-478a-98ab-0e19a861eddd;31f4d77e-a8af-45b9-aff3-021875510abf;inbound;2022/08/16
87c3dd23-f81f-42da-8b63-9343d60986e2;826113a7-77ee-4aaa-b41d-6546582d1707;outbound;2022/08/16
aeadc7c9-f1a8-4af7-84ba-0850943337c9;826113a7-77ee-4aaa-b41d-6546582d1707;inbound;2022/08/16
0b1e92a9-05a3-44f4-b1d9-61c701fb30d8;31f4d77e-a8af-45b9-aff3-021875510abf;outbound;2022/08/16
